,Sleep Stage,AUC,Area
0,Wakefulness,0.942707681656567,Cerebral EEG
1,NREM,0.9382575127822244,Cerebral EEG
2,REM,0.993509146917673,Cerebral EEG
0,Wakefulness,0.9402993010171818,Cerebral EEG
1,NREM,0.9366373557625727,Cerebral EEG
2,REM,0.9945309401023299,Cerebral EEG
0,Wakefulness,0.9242684628277151,Cerebral EEG
1,NREM,0.9222271524762833,Cerebral EEG
2,REM,0.9903864133972423,Cerebral EEG
0,Wakefulness,0.9382443140276846,Cerebral EEG
1,NREM,0.9344679824963483,Cerebral EEG
2,REM,0.992478236971471,Cerebral EEG
0,Wakefulness,0.9423333287080364,Cerebral EEG
1,NREM,0.9392955713616975,Cerebral EEG
2,REM,0.9934570816201018,Cerebral EEG
0,Wakefulness,0.9411425713354432,Cerebral EEG
1,NREM,0.9391200913734441,Cerebral EEG
2,REM,0.9928249285274933,Cerebral EEG
0,Wakefulness,0.9197369192690831,Cerebral EEG
1,NREM,0.9151946903413964,Cerebral EEG
2,REM,0.9906100389146721,Cerebral EEG
0,Wakefulness,0.9384114469399614,Cerebral EEG
1,NREM,0.9358609255099876,Cerebral EEG
2,REM,0.9924875920828076,Cerebral EEG
0,Wakefulness,0.9349796292478997,Cerebral EEG
1,NREM,0.9305678275159863,Cerebral EEG
2,REM,0.994468088438408,Cerebral EEG
0,Wakefulness,0.9403112328290802,Cerebral EEG
1,NREM,0.9377088753599742,Cerebral EEG
2,REM,0.9930420195317071,Cerebral EEG
0,Wakefulness,0.9410910763119127,Cerebral EEG
1,NREM,0.936377393144176,Cerebral EEG
2,REM,0.9933948844767693,Cerebral EEG
0,Wakefulness,0.9488274500019693,Cerebral EEG
1,NREM,0.9469377808091044,Cerebral EEG
2,REM,0.993537766494452,Cerebral EEG
0,Wakefulness,0.9372644817994661,Cerebral EEG
1,NREM,0.932837996341812,Cerebral EEG
2,REM,0.992950560367117,Cerebral EEG
0,Wakefulness,0.9375937999714212,Cerebral EEG
1,NREM,0.932161429414289,Cerebral EEG
2,REM,0.9935225081448943,Cerebral EEG
0,Wakefulness,0.9256306243848733,Cerebral EEG
1,NREM,0.9197429411030762,Cerebral EEG
2,REM,0.9939773350587838,Cerebral EEG
0,Wakefulness,0.9419415730444376,Cerebral EEG
1,NREM,0.938386820141399,Cerebral EEG
2,REM,0.9942816967368721,Cerebral EEG
0,Wakefulness,0.9366556077908299,Cerebral EEG
1,NREM,0.9339561354550312,Cerebral EEG
2,REM,0.9936997741217412,Cerebral EEG
0,Wakefulness,0.9336248800890168,Cerebral EEG
1,NREM,0.9285370424236228,Cerebral EEG
2,REM,0.9946463532182076,Cerebral EEG
0,Wakefulness,0.9328180694984627,Cerebral EEG
1,NREM,0.9285482623101307,Cerebral EEG
2,REM,0.9929992262075,Cerebral EEG
0,Wakefulness,0.9211946314169078,Cerebral EEG
1,NREM,0.9159449941418107,Cerebral EEG
2,REM,0.9909114376398822,Cerebral EEG
0,Wakefulness,0.9081444841365833,Cerebellar EEG
1,NREM,0.8825902883814609,Cerebellar EEG
2,REM,0.7438895435079177,Cerebellar EEG
0,Wakefulness,0.8688204349042099,Cerebellar EEG
1,NREM,0.8486148516905208,Cerebellar EEG
2,REM,0.7477369509991246,Cerebellar EEG
0,Wakefulness,0.8932878644977651,Cerebellar EEG
1,NREM,0.8658209955460451,Cerebellar EEG
2,REM,0.8235294001617453,Cerebellar EEG
0,Wakefulness,0.8702556006150595,Cerebellar EEG
1,NREM,0.8458466714951883,Cerebellar EEG
2,REM,0.7928505227059971,Cerebellar EEG
0,Wakefulness,0.8217382296671154,Cerebellar EEG
1,NREM,0.795164861253222,Cerebellar EEG
2,REM,0.7610088693323738,Cerebellar EEG
0,Wakefulness,0.8566938069975717,Cerebellar EEG
1,NREM,0.8329966545671103,Cerebellar EEG
2,REM,0.7901922686462686,Cerebellar EEG
0,Wakefulness,0.8744528859002543,Cerebellar EEG
1,NREM,0.844171620346543,Cerebellar EEG
2,REM,0.7693405851008372,Cerebellar EEG
0,Wakefulness,0.8651357625898096,Cerebellar EEG
1,NREM,0.8353582667852615,Cerebellar EEG
2,REM,0.7699053062734004,Cerebellar EEG
0,Wakefulness,0.8940866336776639,Cerebellar EEG
1,NREM,0.8664033572243819,Cerebellar EEG
2,REM,0.8242728103447182,Cerebellar EEG
0,Wakefulness,0.8711340379592777,Cerebellar EEG
1,NREM,0.8477990053660189,Cerebellar EEG
2,REM,0.7422552074130797,Cerebellar EEG
0,Wakefulness,0.8609237644853774,Cerebellar EEG
1,NREM,0.841249132332344,Cerebellar EEG
2,REM,0.7679560125506748,Cerebellar EEG
0,Wakefulness,0.8674700405022894,Cerebellar EEG
1,NREM,0.8342026240667151,Cerebellar EEG
2,REM,0.7780956919939971,Cerebellar EEG
0,Wakefulness,0.881834488809198,Cerebellar EEG
1,NREM,0.8553478392619878,Cerebellar EEG
2,REM,0.7760645767877324,Cerebellar EEG
0,Wakefulness,0.844731856307948,Cerebellar EEG
1,NREM,0.812923688623525,Cerebellar EEG
2,REM,0.7680795142347042,Cerebellar EEG
0,Wakefulness,0.8751898056616678,Cerebellar EEG
1,NREM,0.834801997045093,Cerebellar EEG
2,REM,0.7829188439593971,Cerebellar EEG
0,Wakefulness,0.9157093132678833,Cerebellar EEG
1,NREM,0.8857329374673064,Cerebellar EEG
2,REM,0.8083841012690741,Cerebellar EEG
0,Wakefulness,0.868677377003183,Cerebellar EEG
1,NREM,0.8411471362748704,Cerebellar EEG
2,REM,0.792151219567638,Cerebellar EEG
0,Wakefulness,0.8607761113783519,Cerebellar EEG
1,NREM,0.8350898249535095,Cerebellar EEG
2,REM,0.7776154871206313,Cerebellar EEG
0,Wakefulness,0.9032294277980518,Cerebellar EEG
1,NREM,0.880645473974096,Cerebellar EEG
2,REM,0.8420928204971004,Cerebellar EEG
0,Wakefulness,0.8737266826971982,Cerebellar EEG
1,NREM,0.8540455294442268,Cerebellar EEG
2,REM,0.7838889281449958,Cerebellar EEG
0,Wakefulness,0.8578611965611411,EMG
1,NREM,0.8321384142705917,EMG
2,REM,0.7613161403837855,EMG
0,Wakefulness,0.7347459173215439,EMG
1,NREM,0.7772372128377185,EMG
2,REM,0.6569350139700264,EMG
0,Wakefulness,0.8604102291001474,EMG
1,NREM,0.8329122429677249,EMG
2,REM,0.7469420844851344,EMG
0,Wakefulness,0.8015262506278088,EMG
1,NREM,0.7855460685199718,EMG
2,REM,0.666741766532177,EMG
0,Wakefulness,0.8632564713089655,EMG
1,NREM,0.8355082424438727,EMG
2,REM,0.7618922743861078,EMG
0,Wakefulness,0.8380808995547505,EMG
1,NREM,0.816191212025903,EMG
2,REM,0.6767998247708423,EMG
0,Wakefulness,0.7868625716359634,EMG
1,NREM,0.7556839652313148,EMG
2,REM,0.7320072933309664,EMG
0,Wakefulness,0.721001600206929,EMG
1,NREM,0.7078142656099318,EMG
2,REM,0.6758345700113483,EMG
0,Wakefulness,0.7864956227975681,EMG
1,NREM,0.7629961866741088,EMG
2,REM,0.6594881667566981,EMG
0,Wakefulness,0.7778686900833304,EMG
1,NREM,0.7741429141045273,EMG
2,REM,0.7284945574352559,EMG
0,Wakefulness,0.8250722491235005,EMG
1,NREM,0.7940068968099356,EMG
2,REM,0.7046293998407887,EMG
0,Wakefulness,0.8617406796259006,EMG
1,NREM,0.8362485924928058,EMG
2,REM,0.7173592287716581,EMG
0,Wakefulness,0.7895760307038778,EMG
1,NREM,0.7654347455073178,EMG
2,REM,0.7383849851986917,EMG
0,Wakefulness,0.7302497214889043,EMG
1,NREM,0.7599161932381248,EMG
2,REM,0.6597210857566892,EMG
0,Wakefulness,0.7772060093082223,EMG
1,NREM,0.740084220751605,EMG
2,REM,0.7192963571179771,EMG
0,Wakefulness,0.7830741469724454,EMG
1,NREM,0.7538533959703688,EMG
2,REM,0.5823983979464755,EMG
0,Wakefulness,0.8046361228509051,EMG
1,NREM,0.7794512438747143,EMG
2,REM,0.6541628183458772,EMG
0,Wakefulness,0.828145320518205,EMG
1,NREM,0.7986057021073308,EMG
2,REM,0.7288263896432412,EMG
0,Wakefulness,0.8250263106197182,EMG
1,NREM,0.7916297716547855,EMG
2,REM,0.6653280284166538,EMG
0,Wakefulness,0.7131921819628201,EMG
1,NREM,0.695259252032727,EMG
2,REM,0.6935325999227501,EMG
