,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.8817414393427019,Wakefulness,Precision,5,Cerebral EEG
0,0.8282139547199788,Nrem,Precision,5,Cerebral EEG
0,0.8573649436455499,Rem,Precision,5,Cerebral EEG
0,0.9310937706652559,Wakefulness,Recall,5,Cerebral EEG
0,0.7264545348972244,Nrem,Recall,5,Cerebral EEG
0,0.8573649436455499,Rem,Recall,5,Cerebral EEG
0,0.9310937706652559,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.7264545348972244,Nrem,Sensitivity,5,Cerebral EEG
0,0.8573649436455499,Rem,Sensitivity,5,Cerebral EEG
0,0.7615054306643092,Wakefulness,Specificity,5,Cerebral EEG
0,0.935732329486354,Nrem,Specificity,5,Cerebral EEG
0,0.993330546822469,Rem,Specificity,5,Cerebral EEG
0,0.8658015078482264,Wakefulness,Precision,5,Cerebellar EEG
0,0.7396047627953369,Nrem,Precision,5,Cerebellar EEG
0,0.2346014492753623,Rem,Precision,5,Cerebellar EEG
0,0.926491204867081,Wakefulness,Recall,5,Cerebellar EEG
0,0.6888863082104285,Nrem,Recall,5,Cerebellar EEG
0,0.10066070734551108,Rem,Recall,5,Cerebellar EEG
0,0.926491204867081,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.6888863082104285,Nrem,Sensitivity,5,Cerebellar EEG
0,0.10066070734551108,Rem,Sensitivity,5,Cerebellar EEG
0,0.7257388229350846,Wakefulness,Specificity,5,Cerebellar EEG
0,0.896552578136609,Nrem,Specificity,5,Cerebellar EEG
0,0.9846439020844313,Rem,Specificity,5,Cerebellar EEG
0,0.7634442616727825,Wakefulness,Precision,5,EMG
0,0.7377333469346119,Nrem,Precision,5,EMG
0,0.16094986807387862,Rem,Precision,5,EMG
0,0.9575717497685491,Wakefulness,Recall,5,EMG
0,0.41992799907095574,Nrem,Recall,5,EMG
0,0.023707734162456275,Rem,Recall,5,EMG
0,0.9575717497685491,Wakefulness,Sensitivity,5,EMG
0,0.41992799907095574,Nrem,Sensitivity,5,EMG
0,0.023707734162456275,Rem,Sensitivity,5,EMG
0,0.4333417529679212,Wakefulness,Specificity,5,EMG
0,0.936326712566249,Nrem,Specificity,5,EMG
0,0.9942210187726025,Rem,Specificity,5,EMG
0,0.9022312157196869,Wakefulness,Precision,5,Cerebral EEG
